Standing screen display size,Screen Resolution,Max Screen Resolution,Brand,Item model number,Item Weight,Unit,Item Weight in Kg,Length(In),Width(In),Height(In),Item Dimensions  LxWxH,Color,Manufacturer,ASIN,Country of Origin,Date First Available,Price,Series,Is Discontinued By Manufacturer,Voltage,RAM,Processor Count,Computer Memory Type,Department,Customer Reviews,Power Source,Package Dimensions,Best Sellers Rank,Assembled Height,Assembled Length,Assembled Width,Style,Material,Number of Lights,Special Features,Shade Material,Switch Style,Switch Installation Type,Batteries Included?,Batteries Required?,Type of Bulb,Luminous Flux,Wattage,Processor,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Graphics Card Ram Size,Wireless Type,Hardware Platform,Operating System,Rear Webcam Resolution,Processor Brand,Flash Memory Size,Hard Drive Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Batteries,Material Type,Size,Manufacturer Part Number,Average Battery Life (in hours),Language,Number of Items,Other display features,Colour,Card Description,Hard Drive Rotational Speed,National Stock Number,Ink Color,Brand Name,Color Name,Device interface - primary,Included Components,Total Recycled Content Percentage,Post-Consumer Recycled Content Percentage,Part Number,Item Package Quantity,Battery Cell Type,Display Type,Warranty,Optical Drive Type,Scanner Resolution,Connectivity technologies,Domestic Shipping,International Shipping,Display Style,Usage,Warranty Description
27 Inches,,1920 x 1080 Pixels,ASUS,VG279QL1A,19.2,pounds,8.64,24.18,21.01,8.42,24.18 x 21.01 x 8.42 inches,BLACK,Asus,B08CYC6P3V,China,18-Aug-20,$279.00 ,,,100240 Volts,,,,Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,K1223,3.52,pounds,1.584,11.6,2.6,8.7,,,Eyoyo,B01KJVERF8,,,$98.99 ,,,,,,,,No,,,17-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,ASUS,VA24DCP,8.82,pounds,3.969,21.25,15.37,8.07,21.25 x 15.37 x 8.07 inches,BLACK,Asus,B099PHX5XP,China,21-Jul-21,$189.00 ,VA24DCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Inches,,3440 x 1440 Pixels,Acer,CB342CK smiiphzx,19.2,pounds,8.64,32.2,9.2,23.5,32.2 x 9.2 x 23.5 inches,Silver,Acer,B07ZL57G3Z,China,3-Nov-19,$399.99 ,CB342CK smiiphzx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HD200,6.61,pounds,2.9745,,,,,,Thinlerain,B097SRYYQH,,,$115.99 ,,,,,,,,24-Jun-21,,20.5 x 16.2 x 4.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,,2560 x 1440 Pixels,ASUS,PG329Q,20.9,pounds,9.405,28.67,17.79,11.52,28.67 x 17.79 x 11.52 inches,BLACK,Asus,B08GL66PK4,China,12-Oct-20,$699.99 ,PG329Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DGVIEW201OB,18.2,pounds,8.19,32.9,9.6,19.1,,,Deco Gear,B07WG3Z6W1,,,$429.99 ,,,,,,,,23-Aug-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080,2048 x 1080,MSI,OPTIXMAG273R,18.43,pounds,8.2935,24.29,2.3,14.1,24.29 x 2.3 x 14.1 inches,"Black,blue,red",MSI COMPUTER,B087YF1JNB,,30-Apr-20,$307.00 ,Optix MAG273R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920 x 1080,1920*1200,CHUWI,Herobox,3.1,pounds,1.395,7.36,5.43,1.46,7.36 x 5.43 x 1.46 inches,Carbon Black,,B082VZP76P,,,$199.00 ,Herobox,,,8 GB DDR4,4,DDR3 SDRAM,,18-Dec-19,DC,,,,,,,,,,,,,,,,,,2.7 GHz celeron,2.4 GHz,256 GB mechanical_hard_drive,"Intel® UHD Graphics 600 Gen9 12EU, 700MHz",Intel,8,"5 GHz Radio Frequency, 2.4 GHz Radio Frequency",PC,Windows 10 Home,400 Lines Per Inch,Intel,1 TB,ATA133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ergotron,45-647-216,15.4,pounds,6.93,20.43,32.6,19.53,,Bright White,Ergotron,B0959D7XDM,,,$359.00 ,,,,,,,,18-May-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-647-216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5 Inches,,2560 x 1440,Acer,XV322QU Pbmiipprzx,26.9,pounds,12.105,28.1,10.59,22,28.1 x 10.59 x 22 inches,Black,Acer,B09B2JVVK2,,2-Aug-21,$469.00 ,XV322QU Pbmiipprzx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Y156FH7SX,1.43,pounds,0.6435,14,8.9,0.23,,,cocopar,B08GFL598J,,,$189.99 ,,,,,,,,6-Sep-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MDS-156B03,4.4,pounds,1.98,15,9,10,,,EVICIV,B0962SQCBV,,,$329.99 ,,,,,,,,No,,,15-Jul-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.83,pounds,3.5235,17.24,11.42,0.67,,,Prechen,B0863881T1,,,$102.99 ,,,,,,,,19-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Sceptre,E275B-FWD240,10.44,pounds,4.698,24.13,21.14,9.27,24.13 x 21.14 x 9.27 inches,Black,Sceptre,B0911MSYGW,China,24-Mar-21,$298.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Inches,,3440 x 1440,MSI,MPG ARTYMIS 343CQR,20.2,pounds,9.09,12.43,31.31,16.63,12.43 x 31.31 x 16.63 inches,Black,MSI COMPUTER,B08NT54XWZ,China,6-Jan-21,$799.99 ,,,100240 Volts,32 GB,6,SODIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,802.11ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Inches,,3440 x 1440 Pixels,Acer,CB342CK smiiphzx,19.2,pounds,8.64,32.2,9.2,23.5,32.2 x 9.2 x 23.5 inches,Silver,Acer,B07ZL57G3Z,China,3-Nov-19,$399.99 ,CB342CK smiiphzx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,AOPEN,27HC1R Pbidpx,10.14,pounds,4.563,24.1,6.8,18,24.1 x 6.8 x 18 inches,Black,AOpen,B07LCFXV41,China,24-Dec-18,$229.99 ,27HC1R Pbidpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,Alienware,AW2521H,17.57,pounds,7.9065,21.9,9.9,20.7,21.9 x 9.9 x 20.7 inches,"Black, Dark Side of the Moon",Dell Computers,B08XWKCC68,,9-Mar-21,$609.98 ,Alienware 25 Gaming Monitor - AW2521H,,100 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,2560x1440,2560x1440 Pixels,MSI,OPTIX MAG27CQ,10.78,pounds,4.851,24.1,8.09,17.09,24.1 x 8.09 x 17.09 inches,BLACK,MSI COMPUTER,B079NGSWRL,,6-Feb-18,$309.00 ,OPTIX MAG27CQ,No,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DQ20-173,5.41,pounds,2.4345,15.74,9.25,0.39,,,NexiGo,B08GPMZPYV,,,$369.00 ,,,,,,,,26-Aug-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920 x 1080,1920X1080 Pixels,Sceptre,E248B-FPT168S,6.17,pounds,2.7765,21.21,15.75,5.95,21.21 x 15.75 x 5.95 inches,Black,Sceptre,B097QK6W46,China,22-Jun-21,$219.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.69,pounds,1.6605,,,,,,LANDZO,B08T5SZYQN,,,$188.99 ,,,,,,,,15-Jan-21,,17.28 x 11.1 x 3.19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SOUNDANCE,LS1,2.2,pounds,0.99,10.24,8.86,5.71,,A- silver,Soundance,B07D74DT3B,,,$26.99 ,,No,,,,,,22-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminum,For 10 to 15.6 Inches Laptop,LS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900H,11.4,ounces,0.228,3.25,9.5,1,3.25 x 9.5 x 1 inches,,Plugable,B07BFJSYFM,,13-Mar-18,$99.00 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Inches,,2560 x 1080,LG,34BN670-B,26.9,pounds,12.105,37,20.3,8.6,37 x 20.3 x 8.6 inches,BLACK,LG,B08L9XDLY1,,17-Oct-20,$389.99 ,34BN670-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ergotron,45-241-224,7.92,pounds,3.564,18,10.65,7,,Black,"Ergotron, Inc",B07Q8TJ2KL,,,$179.00 ,,No,,,,,,15-May-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminum,8” Pole Height,45-241-224,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,3840 x 2160 Pixels,LG,27UL650-W,13.7,pounds,6.165,24.1,9.1,22.3,24.1 x 9.1 x 22.3 inches,White,LG,B07MKT2BNB,China,26-Dec-18,$396.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HUANUO,,17.6,pounds,7.92,,,,,Black,HUANUO,B084RF63FK,,,$113.99 ,,,,,,,,13-Feb-20,,17.6 x 12.6 x 7.87 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aluminum, Metal",,TS3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IX156UC 4K,4.12,pounds,1.854,14.29,8.78,0.24,,,"Cinotop Electronics Co., Ltd",B08XQSSZHM,China,,$299.00 ,,1-Mar-21,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Inches,3840 x 2160,3840 x 2160 Pixels,Lenovo,65FAGCC2US,11.45,pounds,5.1525,8.66,25.08,17.72,8.66 x 25.08 x 17.72 inches,Black,Lenovo,B085R9Q1K6,China,23-Oct-19,$336.92 ,L28u-30,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440,ViewSonic,VP2768a,15.4,pounds,6.93,24.13,21.3,8.46,24.13 x 21.3 x 8.46 inches,Black,ViewSonic Corporation,B08L9VHCGP,China,16-Oct-20,$429.99 ,,,12 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Y156FH7SX,1.43,pounds,0.6435,14,8.9,0.23,,,cocopar,B08GFL598J,,,$189.99 ,,,,,,,,6-Sep-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,1920 x 1080,1920 x 1080,MSI,Optix MAG251RX,11.9,pounds,5.355,22,2.3,13.3,22 x 2.3 x 13.3 inches,Black,MSI COMPUTER,B083K13KGM,China,6-Jan-20,$339.99 ,OPTIXMAG251RX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MDS-156B03,4.4,pounds,1.98,15,9,10,,,EVICIV,B0962SQCBV,,,$329.99 ,,,,,,,,No,,,15-Jul-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HD1303,3.19,pounds,1.4355,12.7,8,1.3,,,Thinlerain,B087RC8B79,,,$93.99 ,,,,,,,,28-Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WALI,RDTT03,2,pounds,0.9,,,,,Black,WALI,B094QTGHNZ,,18-Aug-20,$11.99 ,Monitor Stand Riser Height Adjustable,,,,,,,,,15.39 x 9.88 x 1.26 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920 x 1080,1920*1200,CHUWI,Herobox,3.1,pounds,1.395,7.36,5.43,1.46,7.36 x 5.43 x 1.46 inches,Carbon Black,,B082VZP76P,,,$199.00 ,Herobox,,,8 GB DDR4,4,DDR3 SDRAM,,18-Dec-19,DC,,,,,,,,,,,,,,,,,,2.7 GHz celeron,2.4 GHz,256 GB mechanical_hard_drive,"Intel® UHD Graphics 600 Gen9 12EU, 700MHz",Intel,8,"5 GHz Radio Frequency, 2.4 GHz Radio Frequency",PC,Windows 10 Home,400 Lines Per Inch,Intel,1 TB,ATA133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5 Inches,,2560 x 1440,Acer,XV322QU Pbmiipprzx,26.9,pounds,12.105,28.1,10.59,22,28.1 x 10.59 x 22 inches,Black,Acer,B09B2JVVK2,,2-Aug-21,$469.00 ,XV322QU Pbmiipprzx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,AOPEN,27HC1R Pbidpx,10.14,pounds,4.563,24.1,6.8,18,24.1 x 6.8 x 18 inches,Black,AOpen,B07LCFXV41,China,24-Dec-18,$229.99 ,27HC1R Pbidpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,Lenovo,65FDGCC2US,7.05,pounds,3.1725,7.5,21.94,16.51,7.5 x 21.94 x 16.51 inches,Black,Lenovo,B08Z5YQVVK,,16-Mar-21,$238.97 ,G24-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,2560x1440,2560x1440 Pixels,MSI,OPTIX MAG27CQ,10.78,pounds,4.851,24.1,8.09,17.09,24.1 x 8.09 x 17.09 inches,BLACK,MSI COMPUTER,B079NGSWRL,,6-Feb-18,$309.00 ,OPTIX MAG27CQ,No,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Viozon,OL-10T,14.07,pounds,6.3315,,,,,Black,viozon,B07Z396MJD,,,$108.99 ,,,,,,,,13-Oct-19,,21 x 15 x 6.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver, Aluminum",,OL-10T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.83,pounds,3.5235,17.24,11.42,0.67,,,Prechen,B0863881T1,,,$102.99 ,,,,,,,,19-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Sceptre,E275B-FWD240,10.44,pounds,4.698,24.13,21.14,9.27,24.13 x 21.14 x 9.27 inches,Black,Sceptre,B0911MSYGW,China,24-Mar-21,$298.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440,Acer,XF270HU Cbmiiprx,12.2,pounds,5.49,24.08,9.61,21.47,24.08 x 9.61 x 21.47 inches,Black,Acer,B07YGY3RMQ,China,1-Dec-19,$329.99 ,XF270HU Cbmiiprx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E1 Extreme,1.7,pounds,0.765,,,,,,ARZOPA,B095PF7FCR,China,,$309.99 ,,,,,,,,11-Aug-21,,15.31 x 10.35 x 2.24 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,,1920x1080,Deco Gear,,22.2,pounds,9.99,,,,,,Deco Gear,B08LHJG983,,11-Oct-21,$269.99 ,,,,,,,,,,32 x 21 x 6.75 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,pounds,0.9,,,,,,meinno,B08CN5639W,,,$279.99 ,,,,,,,,9-Jul-20,,15.47 x 10.67 x 1.73 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920 x 1080,1920X1080 Pixels,Sceptre,E248B-FPT168S,6.17,pounds,2.7765,21.21,15.75,5.95,21.21 x 15.75 x 5.95 inches,Black,Sceptre,B097QK6W46,China,22-Jun-21,$219.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.69,pounds,1.6605,,,,,,LANDZO,B08T5SZYQN,,,$188.99 ,,,,,,,,15-Jan-21,,17.28 x 11.1 x 3.19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900,0.32,ounces,0.0064,6.45,3.22,4.02,6.45 x 3.22 x 4.02 inches,Black,Plugable Technologies,B00ECDM78E,,15-Aug-13,$99.00 ,,No,,,,,,,DC,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,Lenovo,65F6KCC1US,14.83,pounds,6.6735,9.08,24.1,17.5,9.08 x 24.1 x 17.5 inches,Black,Lenovo,B084R38GNV,,1-Jan-20,$249.00 ,C27-20,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Inches,,1920 x 1080 Pixels,ASUS,PA148CTV,1.63,pounds,0.7335,12.84,8.05,0.47,12.84 x 8.05 x 0.47 inches,BLACK,Asus,B091D4CRTP,China,31-Mar-21,$399.00 ,PA148CTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AM01,1.82,pounds,0.819,14,8.8,0.4,,,AZMIOR,B086JN9XGX,China,,$329.99 ,,,,,,,,21-Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,3840 x 2160,3840 x 2160 Pixels,LG,32UK550-B,15.4,pounds,6.93,28.7,9.1,19.4,28.7 x 9.1 x 19.4 inches,Black,LG,B07NFTWHSG,,6-Feb-19,$397.06 ,32UK550-B,,240 Volts,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Inches,,1920x1080 Pixels,Dell,SE2216HV,8,pounds,3.6,20.1,7,15.6,20.1 x 7 x 15.6 inches,Black,"Dell Marketing USA, LP",B012AQIOXQ,,21-Dec-15,$199.00 ,SE2216HV,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DUEX Pro,1.6,pounds,0.72,12.8,8.6,0.48,,,Mobile Pixels,B07V465K93,,,$279.99 ,,,,,,,,15-Jul-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.6 Inches,,1920 x 1080,MSI,Optix MAG161V,5.83,pounds,2.6235,14.05,0.43,8.94,14.05 x 0.43 x 8.94 inches,Black,MSI COMPUTER,B081B5CMVH,China,11-Nov-19,$209.99 ,OPTIXMAG161V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5 Inches,,1920 x 1080,Acer,XB253Q Gxbmiiprzx,11.8,pounds,5.31,22,9.3,18,22 x 9.3 x 18 inches,Black,Acer,B087GCFMS1,China,25-Mar-20,$363.39 ,,,100240 Volts,,,,Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5 Inches,,1920x1080,HP,6XJ00AA,17.06,pounds,7.677,2.65,28.34,16.9,2.65 x 28.34 x 16.9 inches,Black,hp,B084TBCM2B,,22-Feb-20,$302.70 ,6XJ00AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.44,pounds,0.648,,,,,,ARZOPA,B0947SQDP3,,,$199.99 ,,,,,,,,6-May-21,,15.24 x 10.28 x 2.28 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,,1920 x 1080 Pixels,Acer,UT241Y bmiuzx,11.73,pounds,5.2785,21.3,9.4,10.6,21.3 x 9.4 x 10.6 inches,Black,Acer,B07FKM52MD,,13-Jul-18,$479.00 ,UT241YBMIUZX,No,,,,,Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.34,pounds,0.603,,,,,,cntorich,B07YF98LDJ,,,$32.99 ,,,,,,,,26-Sep-19,,14.92 x 5.87 x 1.81 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ITNRSIIET,Pink Marble,2.46,ounces,0.0492,7.87,7.87,0.12,7.87 x 7.87 x 0.12 inches,Pink Marble,ITNRSIIET,B07ZSYNSSG,,30-Oct-19,$6.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Y133FH7R,1.45,pounds,0.6525,12,7.6,0.23,,,cocopar,B08HKYWG93,,,$189.99 ,,,,,,,,No,,,29-Oct-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.31,pounds,1.0395,13.98,8.46,0.39,,,UPERFECT,B08CVQ5SD9,,,$279.99 ,,,,,,,,24-Sep-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440,MSI,Optix G273QF,16.06,pounds,7.227,24.21,8.9,17.5,24.21 x 8.9 x 17.5 inches,BLACK,MSI COMPUTER,B08S999YC8,China,6-Jan-21,$309.99 ,,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Inches,1920 x 1080,1920 x 1080 Pixels,ASUS,PG259QN,15.65,pounds,7.0425,21.93,14.92,9.72,21.93 x 14.92 x 9.72 inches,BLACK,Asus,B08GL5TJQT,China,18-Sep-20,$599.00 ,ASPG259QN,,100240 Volts,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,1920x1080,1920 x 1080 Pixels,AOC,G2490VXS,10.96,pounds,4.932,7.86,16.18,21.3,7.86 x 16.18 x 21.3 inches,Silver,AOC International,B08NXVSL51,,30-Nov-20,$199.99 ,Basic G Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EleTab,,8.75,pounds,3.9375,16.22,11.69,5.31,,Silver,EleTab,B07BGYSM1D,,,$69.98 ,,No,,,,,,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steel, aluminum",Single Mount,ELTGM03-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CC-TS15,5.5,pounds,2.475,,,,,,Cocar,B07CNK7V2L,,,$188.88 ,,,,,,,,No,,15.98 x 15.2 x 4.65 inches,26-Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,UGREEN,30767,7,ounces,0.14,4.13,2.09,0.63,4.13 x 2.09 x 0.63 inches,,Ugreen Group Limited,B01MXXQKGM,,31-Mar-17,$19.99 ,,No,5 Volts,,,72-Pin EDO SIMM Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mac os x, Linux, Windows xp, Chrome os, Windows vista, Windows 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Inches,1920 x 1080,1920 x 1080 Pixels,ASUS,PG259QN,15.65,pounds,7.0425,21.93,14.92,9.72,21.93 x 14.92 x 9.72 inches,BLACK,Asus,B08GL5TJQT,China,18-Sep-20,$599.00 ,ASPG259QN,,100240 Volts,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
